project,scpca_sample_id,annotation_column,original_annotation,broad_class,cell_count,cell_fraction
SCPCP000022,SCPCS000657,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,T cell,TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,Unknown,Unknown,435,0.9753363228699552
SCPCP000022,SCPCS000658,consensus_celltype_annotation,T cell,TNK,3,0.006726457399103139
SCPCP000022,SCPCS000658,consensus_celltype_annotation,erythrocyte,Erythroid,2,0.004484304932735426
