,logit_frac_unknown,frac_T_logratio,frac_B_logratio,frac_myeloid_logratio,frac_NK_logratio
SCPCS000314,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5975948384003162
SCPCS000315,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.31772549297522223
SCPCS000316,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.29227178364129286
SCPCS000317,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.11242883516687671
SCPCS000318,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3545404278626795
SCPCS000319,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5173408663467924
SCPCS000320,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.7020525087209356
SCPCS000321,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.34164290976346634
SCPCS000322,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.07434410474770159
SCPCS000323,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2776871315877153
SCPCS000324,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2641551035550325
SCPCS000325,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.15188237552643255
SCPCS000326,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000327,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.23860281459563193
SCPCS000328,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.1502111244453123
SCPCS000329,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.11949075960281225
SCPCS000330,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4431008840468218
SCPCS000331,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.7634397498744422
SCPCS000332,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.44095499263711524
SCPCS000333,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.38405559827096375
SCPCS000334,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.28171462883301535
SCPCS000335,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3237452582681349
SCPCS000336,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.7436413827330803
SCPCS000337,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.12061202930928916
SCPCS000338,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.45712768956676614
SCPCS000339,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2603144189680478
SCPCS000340,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.47046139266606957
SCPCS000341,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.7276932651938156
SCPCS000342,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.14945255563718163
SCPCS000343,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4425937192797609
SCPCS000344,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.9255668797724846
SCPCS000345,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.6823481648471471
SCPCS000346,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.13981203462550398
SCPCS000347,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.12279415232860247
SCPCS000348,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.04498452337736234
SCPCS000349,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4962041533687959
SCPCS000350,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3928642485108862
SCPCS000351,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3788563726312253
SCPCS000352,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4616463687719871
SCPCS000353,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.647403682707856
SCPCS000354,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.26405218664593416
SCPCS000355,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.8668345916685891
SCPCS000356,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.6461101302842777
SCPCS000357,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.28076934121161284
SCPCS000358,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.41181578764317867
SCPCS000359,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.37890665310369875
