scenario,model,replicate,parameter,true_value,posterior_mean,hdi_low,hdi_high,error,squared_error,covered_95,divergences
moderate_directional,M_E,0,sigma_proc,0.3,0.31610855196913284,0.281133756567097,0.3481554465955635,0.016108551969132856,0.000259485446542254,1,0
moderate_directional,M_E,0,beta_mu_B_z,-0.07,0.10302133116628104,-0.03934615464861472,0.2210743373799941,0.17302133116628104,0.029936381038551896,0,0
moderate_directional,M_E,0,beta_mu_Myeloid_z,0.03,0.14837268931211187,-0.03170605448674015,0.25080837550596785,0.11837268931211187,0.014012093574981763,1,0
moderate_directional,M_E,0,beta_theta_B_z,0.2,0.38198063232737034,0.06601083938634476,0.678790363902591,0.18198063232737033,0.03311695054226954,1,0
moderate_directional,M_E,0,beta_theta_Myeloid_z,-0.2,0.18868493271222816,-0.22552292008653868,0.4886709736455365,0.38868493271222815,0.15107597691750932,1,0
moderate_directional,M_E,1,mu_0,0.25,0.24768423812474374,0.07936818439856666,0.37958619260032195,-0.002315761875256256,5.3627530628903705e-06,1,0
moderate_directional,M_E,1,theta_0,0.0,-0.062003533220156656,-0.41955450386274046,0.2701070296147348,-0.062003533220156656,0.00384443813178307,1,0
moderate_directional,M_E,1,sigma_proc,0.3,0.2990655623119787,0.2694687254722192,0.32857588672347743,-0.0009344376880212613,8.731737927945199e-07,1,0
moderate_directional,M_E,1,beta_mu_B_z,-0.07,-0.06234868078756023,-0.1893206917589252,0.08347528610624913,0.007651319212439778,5.854268569065006e-05,1,0
moderate_directional,M_E,1,beta_mu_Myeloid_z,0.03,0.018363458717490913,-0.1251826529257967,0.16007420121945942,-0.011636541282509086,0.0001354090930195382,1,0
moderate_directional,M_E,1,beta_theta_B_z,0.2,0.3695761310849541,0.06452609933045318,0.6552073169734887,0.16957613108495406,0.028756064233741524,1,0
moderate_directional,M_E,1,beta_theta_Myeloid_z,-0.2,-0.33604426423739603,-0.7337049696867407,0.029088253434182823,-0.13604426423739602,0.018508041831894428,1,0
moderate_directional,M_E,2,mu_0,0.25,0.2163753985609996,0.005222054014693157,0.39976575082169097,-0.033624601439000396,0.0011306138219316275,1,0
moderate_directional,M_E,2,theta_0,0.0,-0.26121435357179346,-0.6980175390785489,0.1517991614073468,-0.26121435357179346,0.06823293851192992,1,0
moderate_directional,M_E,2,sigma_proc,0.3,0.29642216732474763,0.2669338236004445,0.3257539285065399,-0.003577832675252357,1.2800886652103439e-05,1,0
moderate_directional,M_E,2,beta_mu_B_z,-0.07,-0.10553628734986523,-0.2608813687975658,0.04393785906580723,-0.03553628734986522,0.0012628277186121908,1,0
moderate_directional,M_E,2,beta_mu_Myeloid_z,0.03,-0.034040628069562893,-0.22035348979712915,0.17592295310009773,-0.0640406280695629,0.004101202043544088,1,0
moderate_directional,M_E,2,beta_theta_B_z,0.2,0.043438415490379995,-0.2614890698737586,0.30307038076531084,-0.15656158450962002,0.02451152974416289,1,0
moderate_directional,M_E,2,beta_theta_Myeloid_z,-0.2,-0.3205203666511216,-0.6750343214804223,0.009808487773464233,-0.12052036665112159,0.014525158777720782,1,0
moderate_directional,M_E,3,mu_0,0.25,0.1578296048238703,-0.02267293830005028,0.325224178089483,-0.09217039517612971,0.008495381746923915,1,0
moderate_directional,M_E,3,theta_0,0.0,-0.10334844362213605,-0.46638780992025713,0.2576924447785367,-0.10334844362213605,0.010680900799117833,1,0
moderate_directional,M_E,3,sigma_proc,0.3,0.2992580588598392,0.26957757758579887,0.3283782317436382,-0.0007419411401607956,5.504766554631014e-07,1,0
moderate_directional,M_E,3,beta_mu_B_z,-0.07,-0.031694683998942465,-0.1734433376230964,0.12014789964565484,0.03830531600105754,0.001467297233940875,1,0
moderate_directional,M_E,3,beta_mu_Myeloid_z,0.03,0.07339215854673767,-0.046176013285126334,0.18838441231200337,0.04339215854673767,0.001882879423345219,1,0
moderate_directional,M_E,3,beta_theta_B_z,0.2,0.20637995582506855,-0.03760019814135188,0.47239484423544514,0.006379955825068534,4.0703836329825915e-05,1,0
moderate_directional,M_E,3,beta_theta_Myeloid_z,-0.2,-0.0721728069253367,-0.3644836837614494,0.1802566562435434,0.1278271930746633,0.01633979128934725,1,0
moderate_directional,M_E,4,mu_0,0.25,0.1720035531967718,0.01919363470414027,0.31783519207485245,-0.0779964468032282,0.006083445713928807,1,0
moderate_directional,M_E,4,theta_0,0.0,0.051211527448528506,-0.2756153864205645,0.3670021483964943,0.051211527448528506,0.0026226205436113885,1,0
moderate_directional,M_E,4,sigma_proc,0.3,0.2873885595373628,0.2578532670356129,0.31813333872203187,-0.01261144046263718,0.0001590484305426423,1,0
moderate_directional,M_E,4,beta_mu_B_z,-0.07,0.009076385337949553,-0.11559194586777471,0.1605972514546597,0.07907638533794956,0.0062530747181158836,1,0
moderate_directional,M_E,4,beta_mu_Myeloid_z,0.03,0.07259560943630894,-0.06132062503107176,0.18659753610687133,0.04259560943630894,0.0018143859432505711,1,0
moderate_directional,M_E,4,beta_theta_B_z,0.2,0.18895830737445415,-0.09553628362762283,0.469096686566763,-0.011041692625545857,0.00012191897603703375,1,0
moderate_directional,M_E,4,beta_theta_Myeloid_z,-0.2,-0.048056405951665306,-0.38543578752457286,0.2250214820056128,0.1519435940483347,0.023086855772325134,1,0
